no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
28;COC(=O)C=C(Nc1nc(CO)co1)C(=O)OC;0;256.069536104;-0.19130000000000025;8.0;2.0
29;N#CC(O)=C(CCO)Nc1nc(=O)[nH]c2[nH]cnc12;0;262.08143818;-0.2663200000000005;7.0;5.0
30;COC(=O)CNC(=N)NC(=N)N;0;173.091274592;-1.8331599999999995;4.0;5.0
31;CC(O)C(C#N)N=CC(O)C(O)C(C)O;0;216.111006992;-1.5672200000000003;6.0;4.0
32;O=c1[nH]c2ncnc(N=CC(O)C(O)CO)c2[nH]1;0;253.081103832;-1.9373999999999998;7.0;5.0
33;N#CCCN(CC(=O)NC(CNC(=N)N)C(=O)O)C(N)=O;0;299.134202024;-2.6667499999999977;5.0;6.0
34;CCNc1nc2[nH]cnc2c(=O)[nH]1;0;179.080709908;0.07799999999999979;4.0;3.0
35;CC(NC(=O)CN(CCC#N)CCC#N)C(N)=O;0;251.138224784;-0.8942399999999986;5.0;2.0
36;N#CC=Cn1cnc(C(=O)OCC(N)=O)c1NC(N)=O;0;278.0763528;-0.9899199999999997;7.0;3.0
37;O=C(O)c1nc[nH]c(=O)c1N=C(CO)Cc1ccccc1;0;287.09060589600006;0.7755999999999998;5.0;3.0
38;CC(C#N)NC(=O)CCN(C(=N)N)C(C)C#N;0;236.13855913199998;-0.4876699999999996;4.0;3.0
39;N#CCNC(=S)CNc1nc(=O)[nH]c2[nH]cnc12;0;263.058928908;-0.50132;6.0;4.0
40;N#CCN(CC(N)=O)C(=N)NC(=N)N;0;197.10250797199998;-2.2848799999999994;4.0;5.0
41;CC(O)C(=O)OCCN(CCC#N)c1[nH]cnc1C(N)=O;0;295.128054024;-0.8473199999999992;7.0;3.0
42;N#CCCC=NCC(=O)N(CC#N)C(C#N)CC#N;0;256.107259004;0.5190200000000001;6.0;0.0
43;C=CC=NCC(=O)N(CCC#N)CCc1ccccc1;0;269.152812228;2.22818;3.0;0.0
44;NC(=O)CCN(CCO)CC(N)=O;0;189.11134134;-2.3585999999999983;4.0;3.0
45;CC(C#N)N(CCC(N)=O)C(=O)CN(CC(N)=O)C(=N)N;0;297.15493746800007;-2.7167499999999976;5.0;4.0
46;C=CC(=O)OCC(C#N)NC(=O)CNC(N)=O;0;240.085854864;-1.6077199999999987;5.0;3.0
47;NC(=O)NCC(=O)NCC(=O)OCC1NC(=O)N=C1N;0;286.102567548;-3.2368999999999986;6.0;5.0
48;CSCCCNCCC#N;0;158.087769448;1.24278;3.0;1.0
49;CC(C#N)N(C(=O)CCNC(N)=O)c1ncco1;0;251.101839276;-0.02191999999999983;5.0;2.0
50;N#CCCN(CC#N)C(=O)CNCCCNC(=N)N;0;265.165108228;-1.2849699999999968;5.0;4.0
51;N#CCCN(CC(N)=O)C(C#N)CO;0;196.096025624;-1.4281399999999986;5.0;2.0
52;C=C(c1ccccc1)C(C#N)N(C=CC#N)CCO;0;253.1215121;1.9235599999999997;4.0;1.0
53;CC(C#N)NCC(=O)NC(C#N)CC#N;0;205.096359972;-0.5898599999999998;5.0;2.0
54;N#Cc1nc[nH]c1NC(=O)CN(CCC(N)=O)CC(N)=O;0;293.12363734;-2.1174199999999983;6.0;4.0
55;C=Cc1nc(N)nc(N(CCC#N)CC(=O)O)n1;0;248.102173624;-0.09852;7.0;2.0
56;CCN(C(=N)N)C(Cc1ccccc1)C(N)=S;0;250.12521757599998;1.0991699999999998;2.0;3.0
57;N#CCCN(CC#N)CCC(=O)Nc1ncc(CO)o1;0;277.11748934;0.2347599999999997;7.0;2.0
58;N#CC(CO)NCC(=O)N(CC(=O)O)CC(=O)O;0;259.080435136;-2.541719999999998;6.0;4.0
59;N#CC(CCNC(=N)N)NC(=O)CNC(=N)N;0;240.14470713199998;-2.648979999999998;4.0;7.0
60;NC(=O)CN(C(=O)CNC(N)=O)c1ncco1;0;241.081103832;-1.8387999999999995;5.0;3.0
61;N#CCCN(CC#N)CC(=O)N(CC#N)CC#N;0;244.10725900399999;-0.39858000000000016;6.0;0.0
62;N#CC(N=CCCNC(=N)N)C(O)C(O)C(O)CO;0;273.143704088;-3.102449999999998;7.0;7.0
63;CSC(=O)C(C)N=CCNC(=N)N;0;202.088832068;-0.18162999999999918;4.0;3.0
64;N#CCCN(C=O)CCC(=O)N(CCC#N)c1ncco1;0;289.11748934;0.68346;6.0;0.0
65;O=C(O)C(=O)C(=C(CO)CO)c1ccccc1;0;236.068473484;0.07849999999999979;4.0;3.0
66;NC(=O)c1[nH]c(=O)[nH]c1NC=O;0;170.043990052;-1.629800000000001;3.0;4.0
67;NC(=S)C(NCC(=O)NCC(=O)O)C(O)C(O)CO;0;295.083806264;-3.8543999999999987;7.0;7.0
68;O=C(O)Cn1c(=O)[nH]c(=O)c2nc[nH]c21;0;210.038904672;-1.5024999999999997;5.0;3.0
69;CC(O)C=Nc1[nH]c(=O)n(CCC(N)=O)c1C(N)=O;0;269.11240396;-1.7661999999999995;6.0;4.0
70;N#CCCCNc1cc[nH]c(=O)n1;0;178.08546094;0.4855799999999998;4.0;2.0
71;CC(N)C(=O)NCC(=O)N(CC#N)CCC(=O)O;0;256.117154992;-1.7233199999999984;5.0;3.0
72;CC(C#N)NC(=O)CCN(CCC#N)C(C#N)CO;0;263.138224784;-0.4950600000000002;6.0;2.0
73;O=CC(O)CCC(O)C=O;0;146.0579088;-1.1138000000000001;4.0;2.0
74;O=C(O)C(N=CCCc1ccccc1)C(O)C(O)CO;0;281.12632270800003;-0.14269999999999966;5.0;4.0
75;N#CCCN(CCC(O)C#N)c1ncnc2[nH]cnc12;0;271.118158036;0.3475600000000001;7.0;2.0
