smiles; heat of formation [kcal/mol]
Cc1cnc(NC(=O)CCN(CCC(N)=O)CC(O)C(=O)O)o1;-245.26534
Cc1cnc(NC(=O)CCN(CCC(N)=O)C(=N)NC(=N)N)o1;-68.9003
Cc1cnc(NC(=O)CCN(CCC(N)=O)C(=N)N)o1;-82.9357
Cc1cnc(NC(=O)CCN(CCC(N)=O)C(N)=O)o1;-151.44512
Cc1cnc(NC(=O)CCN(CCC(=O)O)CC(O)C(N)=O)o1;-239.99958
Cc1cnc(NC(=O)CCN(CCC(=O)O)CC(O)C(=O)Nc2ncc(C)o2)o1;-244.95052
Cc1cnc(NC(=O)CCN(CCC(=O)O)CC(O)C(=O)O)o1;-287.32659
Cc1cnc(NC(=O)CCN(CCC(=O)O)C(=N)NC(=N)N)o1;-110.6474
Cc1cnc(NC(=O)CCN(CCC(=O)O)C(=N)N)o1;-127.23975
Cc1cnc(NC(=O)CCN(CCC(=O)O)C(N)=O)o1;-197.63575
Cc1cnc(NC(=O)CCN(CC#N)C(C#Cc2ccccc2)CC#N)o1;81.11657
Cc1cnc(NC(=O)CCN(CC#N)C(C#Cc2ccccc2)CO)o1;6.01515
Cc1cnc(NC(=O)CCN(CC#N)CC#Cc2ccccc2)o1;54.98486
Cc1cnc(NC(=O)CCN(CC#N)C(C)C#Cc2ccccc2)o1;52.41565
Cc1cnc(NC(=O)CCN(CC#N)CCC#N)o1;6.77815
Cc1cnc(NC(=O)CCN(CC#N)CC(O)C(N)=O)o1;-113.64465
Cc1cnc(NC(=O)CCN(CC#N)CC(O)C(=O)Nc2ncc(C)o2)o1;-119.32028
Cc1cnc(NC(=O)CCN(CC#N)CC(O)C(=O)O)o1;-157.95058
Cc1cnc(NC(=O)CCN(CC#N)C(=N)NC(=N)N)o1;19.03253
Cc1cnc(NC(=O)CCN(CC#N)C(=N)N)o1;1.0891
Cc1cnc(NC(=O)CCN(CC#N)C(N)=O)o1;-65.80145
Cc1cnc(NC(=O)CCN(CC(N)=O)C(C)C#Cc2ccccc2)o1;-24.40768
Cc1cnc(NC(=O)CCN(CC(N)=O)CC(O)C(N)=O)o1;-193.48493
Cc1cnc(NC(=O)CCN(CC(N)=O)CC(O)C(=O)Nc2ncc(C)o2)o1;-198.26829
Cc1cnc(NC(=O)CCN(CC(N)=O)CC(O)C(=O)O)o1;-239.40784
Cc1cnc(NC(=O)CCN(CC(N)=O)C(=N)NC(=N)N)o1;-59.38317
Cc1cnc(NC(=O)CCN(CC(N)=O)C(=N)N)o1;-77.94216
Cc1cnc(NC(=O)CCN(CC(N)=O)C(N)=O)o1;-145.48261
Cc1cnc(NC(=O)CCN(CC(O)C(N)=O)C(CC#N)C(N)=O)o1;-165.25908
Cc1cnc(NC(=O)CCN(CC(O)C(N)=O)C(C)C#N)o1;-118.07445
Cc1cnc(NC(=O)CCN(CC(O)C(N)=O)C(C#N)CC#N)o1;-83.87719
Cc1cnc(NC(=O)CCN(CC(O)C(N)=O)C(C#N)CO)o1;-162.48536
Cc1cnc(NC(=O)CCN(CC(O)C(=O)Nc2ncc(C)o2)C(C)C#N)o1;-120.49677
Cc1cnc(NC(=O)CCN(CC(O)C(=O)Nc2ncc(C)o2)C(C#N)CO)o1;-167.04935
Cc1cnc(NC(=O)CCN(CC(O)C(=O)O)C(CC#N)C(N)=O)o1;-206.49473
Cc1cnc(NC(=O)CCN(CC(O)C(=O)O)C(C)C#N)o1;-159.69282
Cc1cnc(NC(=O)CCN(CC(O)C(=O)O)C(C#N)CC#N)o1;-130.31759
Cc1cnc(NC(=O)CCN(CC(O)C(=O)O)C(C#N)CO)o1;-202.98261
Cc1cnc(NC(=O)CCN(CC(=O)Nc2ncc(C)o2)CC(O)C(N)=O)o1;-196.31868
Cc1cnc(NC(=O)CCN(CC(=O)Nc2ncc(C)o2)C(=N)NC(=N)N)o1;-63.69862
Cc1cnc(NC(=O)CCN(CC(=O)Nc2ncc(C)o2)C(=N)N)o1;-79.09963
Cc1cnc(NC(=O)CCN(CC(=O)Nc2ncc(C)o2)C(N)=O)o1;-146.33559
Cc1cnc(NC(=O)CCN(CC(=O)NCCC#N)C(=N)NC(=N)N)o1;-38.84265
Cc1cnc(NC(=O)CCN(CC(=O)NCCC#N)C(=N)N)o1;-55.06422
Cc1cnc(NC(=O)CCN(CC(=O)NCCC#N)C(N)=O)o1;-123.93006
Cc1cnc(NC(=O)CCN(CC(=O)N(CC#N)CCC#N)C(=N)N)o1;-16.74953
Cc1cnc(NC(=O)CCN(CC(=O)N(CC#N)CCC#N)C(N)=O)o1;-84.04498
Cc1cnc(NC(=O)CCN(CC(=O)NC(C#N)CC#N)C(=N)N)o1;-20.3031
Cc1cnc(NC(=O)CCN(CC(=O)N(CC#N)CC#N)C(=N)N)o1;-7.34977
Cc1cnc(NC(=O)CCN(CC(=O)N(CC#N)CC#N)C(N)=O)o1;-75.84773
Cc1cnc(NC(=O)CCN(CC(=O)NC(C#N)CC#N)C(N)=O)o1;-87.5294
Cc1cnc(NC(=O)CCN(CC(=O)NCC#N)CC(O)C(N)=O)o1;-167.73905
Cc1cnc(NC(=O)CCN(CC(=O)NCC#N)CC(O)C(=O)O)o1;-202.62066
Cc1cnc(NC(=O)CCN(CC(=O)N(CC#N)CC(=O)O)C(=N)N)o1;-132.82041
Cc1cnc(NC(=O)CCN(CC(=O)NCC#N)C(=N)NC(=N)N)o1;-31.04128
Cc1cnc(NC(=O)CCN(CC(=O)NCC#N)C(=N)N)o1;-47.34987
Cc1cnc(NC(=O)CCN(CC(=O)NCC#N)C(N)=O)o1;-114.57454
Cc1cnc(NC(=O)CCN(CC(=O)NCC(N)=O)C(=N)N)o1;-127.04009
