smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
N#CCN(C(N)=O)c1ncnc2[nH]cnc12;1;7
NC(=S)CNCCc1ccccc1;1;1
C=C(c1ccccc1)C(C#N)Nc1[nH]cnc1C(=O)O;1;7
N#CCN(CC(=O)O)C(=O)CNC=O;1;2
C#CC#N;1;25
C=C(c1ccccc1)C(C#N)N=CCO;1;1
N#CCN(CC(=O)O)C(=O)CNC(=S)CO;1;1
O=C(O)CNCCO;1;11
NC(=O)C=CNC(Cc1ccccc1)C(N)=O;1;1
C=CC=NC(C#N)CC#N;1;1
N#CCNc1[nH]cnc1C#N;2;10
CC=C(C=Nc1[nH]c(=O)[nH]c1C#N)c1ccccc1;1;1
N#CCN(CC#N)C(=O)CN;1;33
N=C(N)NC(=N)NCC(=O)Nc1ncnc2[nH]cnc12;1;2
COC(=O)CCSC;1;17
C=Cc1nc(N)nc(NCCC#N)n1;2;3
N#CC=CN(CC#N)CC#N;1;0
N#CC(CO)N=CC(O)CO;1;1
N#CCCNCC(=O)O;4;15
N=C(N)NCC=NC(Cc1ccccc1)C(=O)O;1;1
N#CCNC(=S)CNC(=N)N;1;1
N#CCCN(CC(N)=O)C(=O)CNC(=N)NC(=N)N;1;1
NC(N)=O;1;0
C=CC=NCC(=O)N(CC#N)CC(=O)O;1;1
N#CCCNCC(=O)N(CCC#N)CC(=O)O;1;15
C=C(c1ccccc1)C(C#N)NC(C#N)Cc1ccccc1;1;9
N#CC(=N)Nc1nc(=O)[nH]c2[nH]cnc12;1;0
N=C(N)NC(=N)NC(CC(N)=O)C(N)=O;1;1
N=C(N)NC(CC(=O)O)C(=O)O;2;0
COC(=O)CN(CCC#N)C(=N)NC(=N)N;1;15
CC(=S)NCC(=O)NCC(N)=O;1;0
O=CC(O)C(O)CO;1;12
N#CCCN(CCC(N)=O)CC(N)=O;1;3
N#CCNC(Cc1ccccc1)C(N)=O;1;14
N#CC(Cc1ccccc1)NCCC(=O)OCC(N)=O;1;13
C;0;2
CC(C#N)Nc1[nH]cnc1C(=O)O;1;8
NC(=O)c1nc[nH]c1NCCO;1;7
C=CC(N)C#N;1;15
N#CCCN(CC(=O)O)C(=O)CN=CCNC(=N)N;1;1
C=O;1;34
N#CCCNCCC#N;1;15
N=C(N)NCCC(N)=O;2;0
NC(=O)CCN(CC(N)=O)CC(=O)O;1;5
c1c[nH]cn1;1;6
NC(=O)CN(CC(=O)O)C(N)=O;1;4
N#CCCN(C=O)C(C#N)CC#N;1;2
N#CC=CN(CCC#N)c1[nH]cnc1C#N;1;0
NC(=O)NCC(=O)NC(CC(=O)O)C(=O)O;1;4
O=c1nc(N=CC(=CCO)c2ccccc2)cc[nH]1;1;1
CC=NC(C(N)=O)C(N)=O;1;1
N#CCNC(=N)N;1;4
NC(=O)NCC(=O)NCC(=O)O;2;4
N#CCCN(CCC#N)C(=N)C#N;1;0
N#CCCNCC(=O)NCC(=O)O;1;15
N#CCN(C=O)c1[nH]cnc1C(=O)O;1;4
NC(=O)COC(=O)CCNC(CC(N)=O)C(N)=O;1;10
NC(=O)CNC(=O)CNC(=O)CNC(N)=O;1;0
N=C(N)NC(CC(N)=O)C(N)=O;2;0
N#CC=Cn1cnc(C#N)c1NC=O;1;0
O=C(O)C=Nc1cc[nH]c(=O)n1;1;1
NC(=O)C=CNC(Cc1ccccc1)C(=O)O;1;1
N#CCC(O)C#N;1;5
CC=NCC(=O)NCC#N;1;1
N#CCCN(CCC#N)c1[nH]cnc1C(=O)O;1;12
N#CCCN(C(N)=O)c1c(C#N)ncn1C(=N)N;1;1
N#CC=CNC(Cc1ccccc1)C(N)=O;2;0
CO;1;1
N#CCCN(CC(N)=O)C(=O)CN;1;31
NC(=O)CNC(=O)CNC(=S)C(O)Cc1ccccc1;1;1
N#CCN(C(=O)CNC(N)=O)C(C#N)Cc1ccccc1;1;2
CS;1;3
O=c1[nH]cnc2[nH]cnc12;2;3
N#CCN=CC(O)CO;1;1
O=C(O)CN=CCO;1;1
NC(=O)C(C(N)=O)N(CCC(N)=S)C(N)=O;1;0
COC(=O)CC(NC(C)C#N)C(=O)OC;1;18
NC(=O)c1nc[nH]c1N=CC(O)C(O)CO;1;1
CC(C#N)Nc1ncnc2[nH]cnc12;1;9
NC(=O)CN(C(N)=O)c1[nH]cnc1C(N)=O;1;5
N#CCN(CC(=O)O)C(=O)CN=CC(O)CO;1;1
N#CCO;1;5
N#CC(C#N)NC=CC(N)=O;1;1
N=C(N)NCC=O;2;15
N#CCNC(=O)CN=CC(=O)O;1;1
NC(=O)C(N=CCc1ccccc1)C(N)=O;1;1
N#Cc1nc[nH]c1N=CC(=CCO)c1ccccc1;1;1
N#CCNC(=S)c1ncnc(N)c1N;1;5
C=C(c1ccccc1)C(C#N)Nc1ncnc2[nH]cnc12;1;7
N#CCNCC(=O)NCC(N)=O;1;13
N#CC=CNCC(=O)NC(C#N)Cc1ccccc1;2;0
Nc1ncnc(C(=O)O)c1N;2;20
NC(=O)C(C(N)=O)N(CCC(N)=S)CCC(N)=S;1;0
NC(=O)CNC(Cc1ccccc1)C(N)=O;1;12
O=C(O)CCN=CCc1ccccc1;1;1
Nc1ncnc(C=O)c1N;1;26
NC(=O)C(N)Cc1ccccc1;1;32
N#CCN1CC(=O)NC1=O;1;1
Nc1[nH]cnc1C(=O)O;3;13
N#CCCNC(=N)C(=N)NCCC#N;1;0
NC(=S)C(Cc1ccccc1)NC=O;1;1
N#CC(O)C(O)CO;1;5
CC=NCC(=O)NC(C#N)CC#N;1;1
N#CCC(C#N)NCCC(=O)OCC(N)=O;1;12
N#CCNC(=S)CO;1;1
N#CCCNCCC(=O)OCC(N)=O;1;13
N#CC(CO)Nc1[nH]cnc1C(N)=O;1;8
NC1=NC(=O)NC1;1;0
NC(=O)NCC(=O)N(CC(=O)O)CC(=O)O;1;4
C=C(C=NC(CC(N)=O)C(N)=O)c1ccccc1;1;1
N#CC(Cc1ccccc1)N=CC(O)C(O)CO;1;1
N#CCCN=CCNC(=N)N;1;1
N#CCCn1c(=O)c(=O)n(CCC#N)c2c(C#N)ncnc21;1;5
CC(C#N)N=CCNC(=N)N;1;1
O=CC(O)CO;2;13
C=CC=NCC#N;1;1
N#CCCN(C(=O)CNC(=N)N)c1[nH]cnc1C(N)=O;1;3
Nc1[nH]cnc1C(=S)NCCC(=O)O;1;1
NC(=O)CCN(CC(=O)O)C(=O)CNC(N)=O;1;4
N=C(N)NC(=N)NCC(=O)NCC(=O)NCC(=O)O;1;1
N=C(N)NC(=N)NCC(=O)NCC(=O)NCC(N)=O;1;1
N#CCCNC=CC(N)=O;1;0
O=CNc1ncnc(C(=O)O)c1NC=O;1;2
N#CCN(C(=O)CNC(=N)N)c1ncnc2[nH]cnc12;1;5
O=C(O)CN=CCc1ccccc1;1;1
N#CCCN(C(=N)N)C(C#N)CC#N;1;4
N#CC(Cc1ccccc1)NC=O;1;3
NC(=O)CCNc1[nH]cnc1C(=O)O;1;7
N#CCCNC(=N)NC(=N)N;1;2
N=C(N)n1cnc(C(N)=O)c1NC(N)=O;1;1
N#CC(N)CO;1;32
NC(=O)C(N)=O;1;1
O=C(O)c1ncnc2[nH]c(=O)c(=O)[nH]c12;1;6
NC(=O)CC(O)C(N)=S;1;2
N=CNc1ncco1;2;2
O=C(O)CNC(=O)CNC(=S)C(O)Cc1ccccc1;1;1
N#CCNC(=O)CN=CCO;1;1
N#CC#N;1;14
N=C(N)NC(=N)NCCC(=O)O;1;1
CC(C#N)NCC(N)=O;1;14
NC(=O)CC(O)C(N)=O;2;3
C=C(c1ccccc1)C(C#N)N=CCNC(=N)N;1;1
N#CCCN(CC(=O)O)C(=N)NC(=N)N;1;1
N#CCN(C(=O)CN)C(C#N)Cc1ccccc1;1;34
N#CCN(CC(=O)O)C(N)=O;1;5
N#CC(Cc1ccccc1)N(CC(=O)O)C(=N)N;1;4
NC(=O)CNCCc1ccccc1;2;14
N#CCCN(CC#N)C(=O)CNC(=S)c1nc[nH]c1N;1;2
OCC=Nc1ncnc2[nH]cnc12;1;1
N#CCNC(=N)C(=N)NCC#N;1;0
N#CCCN(CCC#N)C(=N)NC(=N)N;1;2
N#CCN(CC#N)C(=O)CN=CC(O)CO;1;1
O=C(O)CC(N=CC(O)C(O)CO)C(=O)O;1;1
N#CC=CNC(CC(N)=O)C(N)=O;2;0
N#Cc1nc[nH]c1NC(C#N)CO;1;9
N#CCCN(C=O)c1ncnc2[nH]cnc12;1;5
N#CCN(C(N)=O)c1[nH]cnc1C(N)=O;1;6
CC(N)C(=O)O;1;32
CC=C(C=NCC(=O)O)c1ccccc1;1;1
N#Cc1ncnc(N)c1NC(N)=O;1;18
NC(=S)CCNc1[nH]cnc1C(=O)O;1;3
C=C(C=C(c1ccccc1)C(O)C#N)c1ccccc1;1;3
